Date,price,zone
6/3/2023 10:00:00 PM,35.74597,SCE
6/3/2023 10:00:00 PM,36.25708,SDGE
6/3/2023 10:00:00 PM,34.69555,VEA
6/3/2023 11:00:00 PM,31.88343,PGAE
6/3/2023 11:00:00 PM,33.23746,SCE
6/3/2023 11:00:00 PM,33.64204,SDGE
6/3/2023 11:00:00 PM,32.30106,VEA
6/4/2023 12:00:00 AM,28.70695,PGAE
6/4/2023 12:00:00 AM,29.25465,SCE
6/4/2023 12:00:00 AM,29.79691,SDGE
6/4/2023 12:00:00 AM,28.6473,VEA
6/4/2023 1:00:00 AM,28.78278,PGAE
6/4/2023 1:00:00 AM,29.2136,SCE
6/4/2023 1:00:00 AM,29.75914,SDGE
6/4/2023 1:00:00 AM,28.65253,VEA
6/4/2023 2:00:00 AM,28.06697,PGAE
6/4/2023 2:00:00 AM,28.64228,SCE
6/4/2023 2:00:00 AM,29.40341,SDGE
6/4/2023 2:00:00 AM,28.13823,VEA
6/4/2023 3:00:00 AM,28.03875,PGAE
6/4/2023 3:00:00 AM,28.5861,SCE
6/4/2023 3:00:00 AM,29.35738,SDGE
6/4/2023 3:00:00 AM,28.05444,VEA
6/4/2023 4:00:00 AM,28.41379,PGAE
6/4/2023 4:00:00 AM,28.96596,SCE
6/4/2023 4:00:00 AM,29.71944,SDGE
6/4/2023 4:00:00 AM,28.45405,VEA
6/4/2023 5:00:00 AM,30.76082,PGAE
6/4/2023 5:00:00 AM,31.06,SCE
6/4/2023 5:00:00 AM,31.7225,SDGE
6/4/2023 5:00:00 AM,30.5492,VEA
6/4/2023 6:00:00 AM,26.41806,PGAE
6/4/2023 6:00:00 AM,26.74592,SCE
6/4/2023 6:00:00 AM,27.36433,SDGE
6/4/2023 6:00:00 AM,26.15418,VEA
6/4/2023 7:00:00 AM,8.67421,PGAE
6/4/2023 7:00:00 AM,8.16242,SCE
6/4/2023 7:00:00 AM,8.40565,SDGE
6/4/2023 7:00:00 AM,7.90106,VEA
6/4/2023 8:00:00 AM,8.2715,PGAE
6/4/2023 8:00:00 AM,4.08929,SCE
6/4/2023 8:00:00 AM,4.2359,SDGE
6/4/2023 8:00:00 AM,3.94476,VEA
6/4/2023 9:00:00 AM,8.83254,PGAE
6/4/2023 9:00:00 AM,4.22196,SCE
6/4/2023 9:00:00 AM,4.37021,SDGE
6/4/2023 9:00:00 AM,4.08015,VEA
6/4/2023 10:00:00 AM,9.19205,PGAE
6/4/2023 10:00:00 AM,4.39635,SCE
6/4/2023 10:00:00 AM,4.56067,SDGE
6/4/2023 10:00:00 AM,4.249,VEA
6/4/2023 11:00:00 AM,10.32401,PGAE
6/4/2023 11:00:00 AM,4.93362,SCE
6/4/2023 11:00:00 AM,5.10212,SDGE
6/4/2023 11:00:00 AM,4.77264,VEA
6/4/2023 12:00:00 PM,10.32691,PGAE
6/4/2023 12:00:00 PM,4.46862,SCE
6/4/2023 12:00:00 PM,4.61031,SDGE
6/4/2023 12:00:00 PM,4.32875,VEA
6/4/2023 1:00:00 PM,10.52332,PGAE
6/4/2023 1:00:00 PM,5.68204,SCE
6/4/2023 1:00:00 PM,5.83044,SDGE
6/4/2023 1:00:00 PM,5.50592,VEA
6/4/2023 2:00:00 PM,12.57485,PGAE
6/4/2023 2:00:00 PM,8.33029,SCE
6/4/2023 2:00:00 PM,8.49576,SDGE
6/4/2023 2:00:00 PM,8.08461,VEA
6/4/2023 3:00:00 PM,18.88201,PGAE
6/4/2023 3:00:00 PM,15.26763,SCE
6/4/2023 3:00:00 PM,15.48,SDGE
6/4/2023 3:00:00 PM,14.84753,VEA
6/4/2023 4:00:00 PM,23.55335,PGAE
6/4/2023 4:00:00 PM,21.7441,SCE
6/4/2023 4:00:00 PM,22.01184,SDGE
6/4/2023 4:00:00 PM,21.17323,VEA
6/4/2023 5:00:00 PM,32.12775,PGAE
6/4/2023 5:00:00 PM,31.49455,SCE
6/4/2023 5:00:00 PM,31.87956,SDGE
6/4/2023 5:00:00 PM,30.7818,VEA
6/4/2023 6:00:00 PM,40.72269,PGAE
6/4/2023 6:00:00 PM,41.14881,SCE
6/4/2023 6:00:00 PM,41.43971,SDGE
6/4/2023 6:00:00 PM,40.53831,VEA
6/4/2023 7:00:00 PM,61.11142,PGAE
6/4/2023 7:00:00 PM,62.89167,SCE
6/4/2023 7:00:00 PM,62.63735,SDGE
6/4/2023 7:00:00 PM,62.04187,VEA
6/4/2023 8:00:00 PM,56.63155,PGAE
6/4/2023 8:00:00 PM,58.62234,SCE
6/4/2023 8:00:00 PM,58.66819,SDGE
6/4/2023 8:00:00 PM,57.6668,VEA
6/4/2023 9:00:00 PM,44.60656,PGAE
6/4/2023 9:00:00 PM,46.53002,SCE
6/4/2023 9:00:00 PM,46.8137,SDGE
6/4/2023 9:00:00 PM,45.31931,VEA
6/4/2023 10:00:00 PM,37.62235,PGAE
6/4/2023 10:00:00 PM,39.21501,SCE
6/4/2023 10:00:00 PM,39.6025,SDGE
6/4/2023 10:00:00 PM,38.25519,VEA
6/4/2023 11:00:00 PM,34.61114,PGAE
6/4/2023 11:00:00 PM,35.86203,SCE
6/4/2023 11:00:00 PM,36.14832,SDGE
6/4/2023 11:00:00 PM,34.84988,VEA
6/5/2023 12:00:00 AM,30.01638,PGAE
6/5/2023 12:00:00 AM,30.50736,SCE
6/5/2023 12:00:00 AM,30.97106,SDGE
6/5/2023 12:00:00 AM,30.06184,VEA
6/5/2023 1:00:00 AM,27.92347,PGAE
6/5/2023 1:00:00 AM,28.72136,SCE
6/5/2023 1:00:00 AM,29.33469,SDGE
6/5/2023 1:00:00 AM,28.29544,VEA
6/5/2023 2:00:00 AM,27.94779,PGAE
6/5/2023 2:00:00 AM,28.90855,SCE
6/5/2023 2:00:00 AM,29.52721,SDGE
6/5/2023 2:00:00 AM,28.50657,VEA
6/5/2023 3:00:00 AM,27.82817,PGAE
6/5/2023 3:00:00 AM,28.76154,SCE
6/5/2023 3:00:00 AM,29.36582,SDGE
6/5/2023 3:00:00 AM,28.19414,VEA
6/5/2023 4:00:00 AM,30.10817,PGAE
6/5/2023 4:00:00 AM,30.1048,SCE
